ID,Forward,Side,Capture Time,Result Time,Active
2,8.597142578837772,1.3863102088933414,1696810925.0877173,1696810928.0990782,False
3,3.280005641538446,-1.6057701368608912,1696810925.0877173,1696810928.0993702,True
2,8.333645819208558,1.4869056792827091,1696810926.6224809,1696810929.6053321,False
3,3.0663835309877094,-1.5983165146402163,1696810926.6224809,1696810929.6057155,True
2,7.997634965558522,-1.6170969465501543,1696810928.0931027,1696810931.0231698,True
2,7.5906150915567725,-1.8168021833812082,1696810929.4915595,1696810932.449769,True
2,7.225234891129709,-1.962802064891297,1696810931.017478,1696810933.8361554,True
2,7.365495004283738,-1.621778296476933,1696810932.3687942,1696810935.2737753,True
2,7.218382263282748,1.5382880002238128,1696810933.716099,1696810936.7099016,True
2,6.874828355830961,1.4863038810620057,1696810935.1673815,1696810938.1141145,True
